source,count,mean,std,max,min,sum
KRTAP10-7,224,0.4196812692921205,0.08759680651726787,0.593777419121,0.279930415944,94.008604321435
AKT1,223,0.4179600855673453,0.1441427937804058,0.99,0.279930415944,93.205099081518
ZDHHC17,220,0.3108683425496636,0.05769528657478006,0.539792829619,0.279641111567,68.391035360926
RB1,220,0.4116465852855318,0.11340502258871599,0.798859338602,0.246936166436,90.56224876281699
HDAC2,219,0.42004582814419633,0.12427226315957343,0.856611140757,0.246936166436,91.990036363579
REL,217,0.40857330097782946,0.09397173736373872,0.669702858659,0.246743830368,88.660406312189
TERF1,217,0.30579562504843316,0.06854681374502446,0.690890282725,0.279930415944,66.35765063551
HIST1H4D,215,0.4135969565036698,0.15939241151992387,0.905284340433,0.246936166436,88.923345648289
PIN1,214,0.3806532392364019,0.11720877385907297,0.756747363871,0.279930415944,81.45979319659
MAPK1,210,0.3652431112191905,0.08804936468745744,0.727827347519,0.244957679172,76.70105335603
UBE2D2,208,0.35876647042485094,0.11786224664582595,0.827631119451,0.279930415944,74.623425848369
HNRNPU,208,0.35451144461302886,0.08241125608225139,0.846823395218,0.279930415944,73.73838047951
XRCC6,208,0.3668232556514711,0.10101477776441713,0.777640687926,0.246743830368,76.299237175506
rev,206,0.2846509224805097,0.028302345755004742,0.588276301143,0.246743830368,58.638090030985
LRRK2,205,0.3676150727416634,0.12171199339588122,0.73153552088,0.279930415944,75.361089912041
CDKN1A,205,0.35072869277230245,0.11119353747349588,0.803158317412,0.246936166436,71.899382018322
UBQLN1,204,0.42758244392762745,0.12290620307201101,0.805164974993,0.279930415944,87.226818561236
YWHAG,201,0.371430556674393,0.07763263540145678,0.770956323446,0.279930415944,74.657541891553
MEOX2,201,0.2837949617374378,0.02343838493644079,0.495315321139,0.279930415944,57.042787309225
HIST3H3,197,0.3539301047789543,0.10959076093520399,0.724822338742,0.279930415944,69.724230641454
UBE2D3,197,0.3635349130795228,0.12611442363701933,0.816703903292,0.279930415944,71.616377876666
SMAD2,195,0.3537778050078564,0.08725782853518776,0.776997106923,0.246936166436,68.986671976532
HSP90AB1,195,0.38835737121151287,0.08795240221035527,0.764542449108,0.279930415944,75.729687386245
KRT31,193,0.42405600416630573,0.08426712810808899,0.593777419121,0.279930415944,81.842808804097
CDK1,193,0.37467583420543527,0.10968595300599596,0.99,0.265060443831,72.312436001649
JUN,193,0.37859306142898963,0.09855632821329784,0.741233262216,0.246936166436,73.068460855795
EWSR1,192,0.3170803414677135,0.07150325223987493,0.690890282725,0.279930415944,60.879425561801
KAT5,191,0.40802277949710997,0.1289678737581217,0.822821136588,0.279930415944,77.932350883948
PCNA,190,0.4093405289453158,0.11548665550897691,0.875610263975,0.279930415944,77.77470049961
RBPMS,190,0.38215677223894734,0.1088190400765105,0.676545067409,0.279930415944,72.6097867254
CSNK2B,189,0.32635755880737566,0.08177023502273277,0.686612726721,0.279930415944,61.681578614593995
TCF4,189,0.39625830894580955,0.09503606400776668,0.643295457702,0.246936166436,74.892820390758
SRPK1,189,0.30712607384490476,0.057545502064604015,0.539792829619,0.279930415944,58.046827956687
MYC,187,0.42673330516762037,0.12061797614557869,0.839791695258,0.246743830368,79.799128066345
HIST1H3D,186,0.4186756251441021,0.1510216583650904,0.879446023734,0.246936166436,77.873666276803
SMARCA4,185,0.4192264867452595,0.12875594113835076,0.87373444393,0.246936166436,77.556900047873
LZTS2,183,0.43482231957292344,0.08198950018655463,0.638447632444,0.279930415944,79.572484481845
NCK1,183,0.40641045855412017,0.08239828201214205,0.747940955058,0.279930415944,74.37311391540399
ACTB,182,0.38512302365726375,0.11220833905852756,0.801168389493,0.246743830368,70.092390305622
CDK2,182,0.39124929116204943,0.11869814899617132,0.861629343508,0.279930415944,71.207370991493
TRAF6,182,0.41734481358864284,0.11687667970643403,0.923479221702,0.279930415944,75.956756073133
MTUS2,180,0.4120615951046611,0.09995538044387277,0.638447632444,0.279930415944,74.171087118839
POLR2A,180,0.4221541648487666,0.13339391318298596,0.854293578606,0.246936166436,75.987749672778
SRPK2,180,0.3170847043900889,0.08128965545880484,0.698413734842,0.279641111567,57.075246790216
TRAF1,179,0.38360145203286594,0.10698878229461448,0.99,0.279930415944,68.664659913883
HTT,179,0.4176089711267374,0.11289654241825983,0.785554380495,0.279930415944,74.75200583168599
SP1,178,0.39156783439528087,0.12290348610515696,0.99,0.246936166436,69.69907452236
RAD23A,177,0.3356480827540226,0.10360542400417877,0.852381012042,0.279930415944,59.409710647462
YWHAE,177,0.3760134167519604,0.09007994480444789,0.750399840091,0.246936166436,66.554374765097
UBQLN4,176,0.31020022809735226,0.06251513441373505,0.672406977194,0.279930415944,54.595240145134
SDCBP,175,0.41267468025349147,0.09134129281812106,0.703475666565,0.279930415944,72.218069044361
HNRNPK,175,0.39513646309906286,0.12729235931967192,0.846823395218,0.279930415944,69.148881042336
POT1,175,0.2918673278971943,0.04973998701926889,0.729466806881,0.279930415944,51.07678238200899
KRTAP10-8,175,0.3852143832832514,0.09993769539176066,0.593777419121,0.279930415944,67.412517074569
KAT2B,174,0.390942781395454,0.11155398834672911,0.772470650598,0.246936166436,68.024043962809
PIK3R1,174,0.4041803856948103,0.10364632872694234,0.721335267352,0.279930415944,70.32738711089699
VIM,174,0.34271174964323564,0.09644145968093244,0.81859299728,0.279930415944,59.631844437923
